m001-s01,WRONG NAMING AND WRONG T_PLANE
m004-s01,WRONG NAMING AND WRONG T_PLANE
m004-s02,INVALID ROI TYPE RECT
m006-s02,INVALID ROI TYPE RECT
m007-s05,INVALID ROI TYPE RECT
m011-s01,WRONG NAMING AND WRONG T_PLANE
m011-s04,INVALID ROI TYPE RECT
m011-s09,INVALID ROI TYPE RECT
m015-s03,INVALID ROI TYPE RECT
m019-s01,INVALID ROI TYPE RECT
m019-s02,INVALID ROI TYPE RECT
m020-s03,INVALID ROI TYPE RECT
m024-s05,INVALID ROI TYPE RECT
m027-s03,INVALID ROI TYPE RECT
m027-s04,INVALID ROI TYPE RECT
m029-s06,INVALID ROI TYPE RECT
m032-s02,WRONG NAMING AND WRONG T_PLANE
m034-s03,INVALID ROI TYPE RECT
m038-s08,WRONG NAMING AND WRONG T_PLANE
m039-s02,WRONG NAMING AND WRONG T_PLANE
m039-s04,INVALID ROI TYPE RECT
m040-s02,WRONG NAMING AND WRONG T_PLANE
m040-s04,INVALID ROI TYPE RECT
m041-s04,INVALID ROI TYPE RECT
m042-s03,INVALID ROI TYPE RECT
m044-s02,INVALID ROI TYPE RECT
m048-s05,WRONG NAMING AND WRONG T_PLANE
m049-s01,INVALID ROI TYPE RECT
m049-s04,WRONG NAMING AND WRONG T_PLANE
m050-s06,INVALID ROI TYPE RECT
m051-s02,INVALID ROI TYPE RECT
m051-s07,INVALID ROI TYPE RECT
m054-s04,WRONG NAMING AND WRONG T_PLANE
m054-s07,WRONG NAMING AND WRONG T_PLANE
m056-s04,INVALID ROI TYPE RECT
m056-s05,INVALID ROI TYPE RECT
m060-s03,INVALID ROI TYPE RECT
m064-s04,INVALID ROI TYPE RECT
m066-s09,WRONG NAMING AND WRONG T_PLANE
m070-s03,INVALID ROI TYPE RECT
m070-s05,INVALID ROI TYPE RECT
m071-s03,WRONG NAMING AND WRONG T_PLANE
m074-s02,WRONG NAMING AND WRONG T_PLANE
m075-s02,WRONG NAMING AND WRONG T_PLANE
m076-s01,INVALID ROI TYPE RECT
m076-s02,WRONG NAMING AND WRONG T_PLANE
m078-s01,INVALID ROI TYPE RECT
m078-s04,INVALID ROI TYPE RECT
m078-s05,INVALID ROI TYPE RECT
m079-s04,INVALID ROI TYPE RECT
m080-s04,INVALID ROI TYPE RECT
m080-s07,WRONG NAMING AND WRONG T_PLANE
m084-s05,INVALID ROI TYPE RECT
m087-s02,INVALID ROI TYPE RECT
m087-s04,WRONG NAMING AND WRONG T_PLANE
m090-s08,WRONG NAMING AND WRONG T_PLANE
m091-s04,WRONG NAMING AND WRONG T_PLANE
m092-s04,INVALID ROI TYPE RECT
m092-s07,INVALID ROI TYPE RECT
m097-s04,INVALID ROI TYPE RECT
m099-s01,DUPLICATED
m099-s04,WRONG NAMING AND WRONG T_PLANE
m102-s02,INVALID ROI TYPE RECT
m106-s08,INVALID ROI TYPE RECT
m109-s04,INVALID ROI TYPE RECT
m110-s03,INVALID ROI TYPE RECT
m110-s04,INVALID ROI TYPE RECT
m110-s07,INVALID ROI TYPE RECT
m112-s03,WRONG NAMING AND WRONG T_PLANE
m112-s09,WRONG NAMING AND WRONG T_PLANE
m113-s09,WRONG NAMING AND WRONG T_PLANE
m114-s01,INVALID ROI TYPE RECT
m114-s03,INVALID ROI TYPE RECT
m117-s08,WRONG NAMING AND WRONG T_PLANE
m119-s04,WRONG NAMING AND WRONG T_PLANE
m119-s06,INVALID ROI TYPE RECT
m121-s02,INVALID ROI TYPE RECT
m121-s03,INVALID ROI TYPE RECT
m128-s03,WRONG NAMING AND WRONG T_PLANE
m134-s04,INVALID ROI TYPE RECT
m134-s07,WRONG NAMING AND WRONG T_PLANE
m135-s01,DUPLICATED
m139-s03,WRONG NAMING AND WRONG T_PLANE
m141-s03,INVALID ROI TYPE RECT
m144-s06,INVALID ROI TYPE RECT
m145-s03,INVALID ROI TYPE RECT
m146-s02,INVALID ROI TYPE RECT
m147-s06,INVALID ROI TYPE RECT
m149-s01,INVALID ROI TYPE RECT
m156-s03,INVALID ROI TYPE RECT
m157-s09,WRONG NAMING AND WRONG T_PLANE
m159-s03,INVALID ROI TYPE RECT
m162-s03,INVALID ROI TYPE RECT
m162-s06,INVALID ROI TYPE RECT
m171-s04,INVALID ROI TYPE RECT
m172-s03,INVALID ROI TYPE RECT
m172-s04,INVALID ROI TYPE RECT
m172-s05,INVALID ROI TYPE RECT
m173-s03,INVALID ROI TYPE RECT
m174-s04,INVALID ROI TYPE RECT
m175-s02,INVALID ROI TYPE RECT
m176-s05,INVALID ROI TYPE RECT
m177-s02,INVALID ROI TYPE RECT
m177-s03,INVALID ROI TYPE RECT
m177-s04,INVALID ROI TYPE RECT
m181-s02,INVALID ROI TYPE RECT
m184-s03,INVALID ROI TYPE RECT
m194-s07,INVALID ROI TYPE RECT
m205-s05,WRONG NAMING AND WRONG T_PLANE
m206-s01,WRONG NAMING AND WRONG T_PLANE
m207-s05,INVALID ROI TYPE RECT
m212-s06,INVALID ROI TYPE RECT
m213-s06,INVALID ROI TYPE RECT
m224-s07,INVALID ROI TYPE RECT
m225-s05,WRONG NAMING AND WRONG T_PLANE
m225-s06,WRONG NAMING AND WRONG T_PLANE
m228-s07,WRONG NAMING AND WRONG T_PLANE
m231-s08,WRONG NAMING AND WRONG T_PLANE
